original_org_name,normalized_org_name,state,networks_im_sharing
Lake City FL PD,lake city fl,fl,South Portland ME PD
Altoona IA PD,altoona ia,ia,South Portland ME PD
Shelby County TN SO,shelby county tn,tn,South Portland ME PD
South Kingstown RI PD,south kingstown ri,ri,South Portland ME PD
Mattapoisett MA PD,mattapoisett ma,ma,South Portland ME PD
New Canaan CT PD,new canaan ct,ct,South Portland ME PD
Lakeland FL PD,lakeland fl,fl,South Portland ME PD
Fish and Wildlife Commission FL PD,fish and wildlife commission fl,fl,South Portland ME PD
Crawford Town NY PD,crawford town ny,ny,South Portland ME PD
Franklin County PA SO,franklin county pa,pa,South Portland ME PD
Santa Rosa County FL SO,santa rosa county fl,fl,South Portland ME PD
Bristol CT PD,bristol ct,ct,South Portland ME PD
Miami-Dade FL SO,miamidade fl,fl,South Portland ME PD
Walton County FL SO,walton county fl,fl,South Portland ME PD
Lynbrook Village NY PD,lynbrook village ny,ny,South Portland ME PD
North Kingstown RI PD,north kingstown ri,ri,South Portland ME PD
Brookville NY PD,brookville ny,ny,South Portland ME PD
Fort Worth TX PD,fort worth tx,tx,South Portland ME PD
CSX Railroad PD,csx railroad,,South Portland ME PD
Vernon CT PD,vernon ct,ct,South Portland ME PD
Lehigh County PA (RIIC),lehigh county pa riic,pa,South Portland ME PD
Somerset MA PD,somerset ma,ma,South Portland ME PD
East Providence RI PD,east providence ri,ri,South Portland ME PD
Brevard County FL SO,brevard county fl,fl,South Portland ME PD
Fall River MA PD,fall river ma,ma,South Portland ME PD
Onondaga County NY SO,onondaga county ny,ny,South Portland ME PD
Franklin MA PD,franklin ma,ma,South Portland ME PD
Tarpon Springs FL PD,tarpon springs fl,fl,South Portland ME PD
Butler Township PA PD,butler township pa,pa,South Portland ME PD
Windsor Locks CT PD,windsor locks ct,ct,South Portland ME PD
Homer Village NY PD,homer village ny,ny,South Portland ME PD
Hamburg Town NY PD,hamburg town ny,ny,South Portland ME PD
Allentown PA PD,allentown pa,pa,South Portland ME PD
SUNY-Onondaga Community College Campus NY PD,sunyonondaga community college campus ny,ny,South Portland ME PD
Hazleton PA PD,hazleton pa,pa,South Portland ME PD
Old Westbury Village NY PD,old westbury village ny,ny,South Portland ME PD
Fishkill Town NY PD,fishkill town ny,ny,South Portland ME PD
Grafton MA PD,grafton ma,ma,South Portland ME PD
Southern Regl PA PD,southern regl pa,pa,South Portland ME PD
Columbia County FL SO,columbia county fl,fl,South Portland ME PD
SUNY Old Westbury NY PD,suny old westbury ny,ny,South Portland ME PD
Palm Beach County FL SO,palm beach county fl,fl,South Portland ME PD
Quincy MA PD,quincy ma,ma,South Portland ME PD
Watervliet NY PD,watervliet ny,ny,South Portland ME PD
Franklin Township PA PD,franklin township pa,pa,South Portland ME PD
