state,agency,support_types
AK,"Alaska Department of Corrections","Warrant Service Officer"
AK,"Kodiak Police Department","Warrant Service Officer"
AL,"Autauga County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
AL,"Baldwin County Sheriff's Office","Task Force Model"
AL,"Blount County Sheriff's Office","Task Force Model"
AL,"Camp Hill Police Department","Task Force Model"
AL,"Cedar Bluff Police Department","Task Force Model"
AL,"Cherokee County Sheriff's Office","Task Force Model; Warrant Service Officer"
AL,"Cherokee Police Department","Task Force Model"
AL,"Clarke County Sheriff's Office","Task Force Model"
AL,"Colbert County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
AL,"Courtland Police Department","Task Force Model"
AL,"Crenshaw County Sheriff's Office","Warrant Service Officer"
AL,"DeKalb County Sheriff's Office","Task Force Model"
AL,"Demopolis Police Department","Task Force Model"
AL,"Elberta Police Department","Task Force Model"
AL,"Elmore County Sheriff's Office","Jail Enforcement Model"
AL,"Etowah County Sheriff's Office","Jail Enforcement Model; Task Force Model"
AL,"Florala Police Department","Task Force Model"
AL,"Foley Police Department","Task Force Model"
AL,"Franklin County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
AL,"Hale County Sheriff's Office","Task Force Model"
AL,"Henry County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
AL,"Jackson Police Department","Task Force Model"
AL,"Jackson's Gap Police Department","Task Force Model"
AL,"Lanett Police Department","Task Force Model"
AL,"Lauderdale County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
AL,"Lawrence County Sheriff's Office","Task Force Model; Warrant Service Officer"
AL,"Leesburg Police Department","Task Force Model"
AL,"Level Plains Police Department","Task Force Model"
AL,"Limestone County Sheriff's Office","Task Force Model; Warrant Service Officer"
AL,"Littleville Police Department","Task Force Model"
AL,"Lockhart Police Department","Task Force Model"
AL,"Loxley Police Department","Task Force Model"
AL,"Margaret Police Department","Task Force Model"
AL,"Marion County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
AL,"Marshall County Sheriff's Office","Jail Enforcement Model"
AL,"Mobile County Sheriff's Office","Task Force Model"
AL,"Monroe County Sheriff's Office","Task Force Model"
AL,"Piedmont Police Department","Task Force Model"
AL,"Robertsdale Police Department","Task Force Model"
AL,"Semmes Police Department","Task Force Model"
AL,"Silverhill Police Department","Task Force Model"
AL,"Southside Police Department","Task Force Model"
AL,"Summerdale Police Department","Task Force Model"
AL,"Thomasville Police Department","Task Force Model"
AL,"Washington County Sheriff's Office","Task Force Model"
AR,"16th Judicial Distric Drug Task Force","Task Force Model"
AR,"Arkansas Department of Corrections","Jail Enforcement Model; Warrant Service Officer"
AR,"Arkansas Department of Public Safety","Task Force Model"
AR,"Arkansas Department of Public Safety-Crime Information Center","Task Force Model"
AR,"Arkansas Division of Law Enforcement Standards and Training","Task Force Model"
