ID, Name, Org Name, Total Networks Searched, Time Frame, Reason, Case #, Search Time, Search Type,Search Date,Search Time, , 
c60959ba-77ba-4fb3-a3c9-31a822b7b68b,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 06:00:00 PM UTC
03/30/2026, 07:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:21:01 PM UTC",search,2026-03-31 00:00:00,06:21:01,PM,UTC
58d39fc6-befd-436a-a0a3-405217b1931f,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 06:00:00 PM UTC
03/30/2026, 07:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:25:27 PM UTC",search,2026-03-31 00:00:00,06:25:27,PM,UTC
591b9729-0f85-4c5d-ac8d-e31632581062,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 06:00:00 PM UTC
03/30/2026, 07:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:26:02 PM UTC",search,2026-03-31 00:00:00,06:26:02,PM,UTC
c45bc405-80fd-47d9-8a21-d857f2a3d5fb,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 05:00:00 PM UTC
03/30/2026, 07:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:28:56 PM UTC",search,2026-03-31 00:00:00,06:28:56,PM,UTC
adade699-28cf-4642-92c4-80f7f0462620,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 05:00:00 PM UTC
03/30/2026, 08:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:30:03 PM UTC",search,2026-03-31 00:00:00,06:30:03,PM,UTC
a806ce9f-1d47-4536-a314-380571e73c41,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 04:00:00 PM UTC
03/30/2026, 08:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:30:49 PM UTC",search,2026-03-31 00:00:00,06:30:49,PM,UTC
4dda69d8-a484-4114-a282-cd34ecba6a6c,Jonathan Stearns,South Portland ME PD,2.0,"03/30/2026, 04:00:00 PM UTC
03/30/2026, 08:00:00 PM UTC",Larceny/Theft Offenses - theft from hannaford,,"03/31/2026, 06:30:53 PM UTC",search,2026-03-31 00:00:00,06:30:53,PM,UTC
57fe6986-deee-4e3d-b22a-f4dced13a301,Jeff Levesque,South Portland ME PD,5842.0,"02/28/2026, 06:30:30 PM UTC
03/30/2026, 06:30:30 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/30/2026, 06:10:33 PM UTC",lookup,2026-03-30 00:00:00,06:10:33,PM,UTC
9fcacdb0-255d-4aff-87e3-495245584dd0,Jeff Levesque,South Portland ME PD,5841.0,"02/28/2026, 03:30:31 PM UTC
03/30/2026, 03:30:31 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/30/2026, 03:11:41 PM UTC",lookup,2026-03-30 00:00:00,03:11:41,PM,UTC
4588fd24-bba2-47e5-834d-afad4e5535e2,Jeff Levesque,South Portland ME PD,5842.0,"02/28/2026, 05:30:38 PM UTC
03/30/2026, 05:30:38 PM UTC",Drugs/Narcotics - mdea via miac,,"03/30/2026, 05:13:40 PM UTC",lookup,2026-03-30 00:00:00,05:13:40,PM,UTC
3604e569-9f54-41ff-b97c-2f333b7dcba0,Jeff Levesque,South Portland ME PD,5842.0,"03/23/2026, 05:30:52 PM UTC
03/30/2026, 05:30:52 PM UTC",Motor Vehicle Theft/Stolen - sopo theft,,"03/30/2026, 05:02:54 PM UTC",lookup,2026-03-30 00:00:00,05:02:54,PM,UTC
b3b74e5a-1da0-4ea5-8d95-40b877ea4d94,Kevin Theriault,South Portland ME PD,2.0,"03/27/2026, 01:44:40 AM UTC
03/28/2026, 01:44:40 AM UTC",Stolen Property Offenses - File 1 Auburn,,"03/28/2026, 01:44:41 AM UTC",lookup - Mobile,2026-03-28 00:00:00,01:44:41,AM,UTC
03a5fbdf-c550-4840-bed5-97491d4b1410,Kevin Theriault,South Portland ME PD,2.0,"03/26/2026, 10:47:00 PM UTC
03/27/2026, 10:47:00 PM UTC",Stolen Property Offenses - File 1 Auburn,,"03/27/2026, 10:47:02 PM UTC",lookup - Mobile,2026-03-27 00:00:00,10:47:02,PM,UTC
539fa727-f957-48c0-9c43-a52132952954,Frank Stepnick,South Portland ME PD,8.0,"03/25/2026, 11:30:00 AM UTC
03/27/2026, 03:30:00 PM UTC",Missing/Endangered Person/Runaway - Attempt to locate,Silver Alert Donald Humbarger,"03/27/2026, 03:22:52 PM UTC",lookup,2026-03-27 00:00:00,03:22:52,PM,UTC
1455308d-ac7a-421b-a652-a76f93017f09,Frank Stepnick,South Portland ME PD,5840.0,"02/25/2026, 03:30:56 PM UTC
03/27/2026, 03:30:56 PM UTC",Missing/Endangered Person/Runaway - Attempt to locate,Silver Alert Donald Humbarger,"03/27/2026, 03:23:01 PM UTC",lookup,2026-03-27 00:00:00,03:23:01,PM,UTC
c4c6a3c7-cbc1-4735-8e40-6546575e265b,Frank Stepnick,South Portland ME PD,5840.0,"02/25/2026, 04:30:53 PM UTC
03/27/2026, 03:30:53 PM UTC",Missing/Endangered Person/Runaway - Attempt to locate,Silver Alert Donald Humbarger,"03/27/2026, 03:23:58 PM UTC",lookup,2026-03-27 00:00:00,03:23:58,PM,UTC
de11baa8-f94d-43e2-b364-407c0fae2aa6,Frank Stepnick,South Portland ME PD,5840.0,"02/25/2026, 03:30:36 PM UTC
03/27/2026, 03:30:36 PM UTC",Missing/Endangered Person/Runaway - Attempt to locate,Silver Alert Donald Humbarger,"03/27/2026, 03:24:38 PM UTC",lookup,2026-03-27 00:00:00,03:24:38,PM,UTC
e250f634-79cc-4c76-9254-c21739d158e7,Kevin Theriault,South Portland ME PD,2.0,"03/26/2026, 09:40:28 PM UTC
03/27/2026, 09:40:28 PM UTC",Stolen Property Offenses - File 1 Auburn,,"03/27/2026, 09:40:29 PM UTC",lookup - Mobile,2026-03-27 00:00:00,09:40:29,PM,UTC
f195676c-b4d4-499d-8ae5-63b035c34068,Kevin Theriault,South Portland ME PD,2.0,"03/26/2026, 09:50:42 PM UTC
03/27/2026, 09:50:42 PM UTC",Stolen Property Offenses - File 1 Auburn,,"03/27/2026, 09:50:47 PM UTC",lookup - Mobile,2026-03-27 00:00:00,09:50:47,PM,UTC
3991e7b3-9b88-4a1a-a1f3-40d950d1122d,Kevin Theriault,South Portland ME PD,2.0,"03/26/2026, 09:50:50 PM UTC
03/27/2026, 09:50:50 PM UTC",Stolen Property Offenses - File 1 Auburn,,"03/27/2026, 09:50:51 PM UTC",lookup - Mobile,2026-03-27 00:00:00,09:50:51,PM,UTC
2da74fa1-cc5b-445e-91f8-1ff54d47c033,Kevin Theriault,South Portland ME PD,2.0,"03/26/2026, 10:04:07 PM UTC
03/27/2026, 10:04:07 PM UTC",Stolen Property Offenses - File 1 Auburn,,"03/27/2026, 10:04:08 PM UTC",lookup - Mobile,2026-03-27 00:00:00,10:04:08,PM,UTC
45e1c9b0-3e17-402e-a330-9bcb7f710199,Kevin Theriault,South Portland ME PD,2.0,"03/26/2026, 10:04:25 PM UTC
03/27/2026, 10:04:25 PM UTC",Stolen Property Offenses - File 1 Auburn,,"03/27/2026, 10:04:25 PM UTC",lookup - Mobile,2026-03-27 00:00:00,10:04:25,PM,UTC
63bb6eb9-3bf1-4bdb-8ac6-0a0ff76c8235,Frank Stepnick,South Portland ME PD,2.0,"03/25/2026, 11:00:00 AM UTC
03/26/2026, 01:00:00 PM UTC",Motor Vehicle Theft/Stolen - Carmax reported stolen motor vehicle,PD dispatched,"03/26/2026, 12:52:40 PM UTC",search,2026-03-26 00:00:00,12:52:40,PM,UTC
4343bd54-845b-4e43-abd6-9aaccb6006d9,Jeff Levesque,South Portland ME PD,5821.0,"02/23/2026, 12:30:42 PM UTC
03/25/2026, 12:30:42 PM UTC",Drugs/Narcotics - mdea via miac,,"03/25/2026, 12:21:44 PM UTC",lookup,2026-03-25 00:00:00,12:21:44,PM,UTC
be932632-483c-48b2-9c2a-9fb50e454978,Jeff Levesque,South Portland ME PD,5821.0,"02/23/2026, 12:30:42 PM UTC
03/25/2026, 12:30:42 PM UTC",Drugs/Narcotics - mdea via miac,,"03/25/2026, 12:22:59 PM UTC",lookup,2026-03-25 00:00:00,12:22:59,PM,UTC
342bb010-6fd4-4519-a814-f2f9d3eb1e46,Jeff Levesque,South Portland ME PD,5821.0,"02/23/2026, 12:30:42 PM UTC
03/25/2026, 12:30:42 PM UTC",Drugs/Narcotics - mdea via miac,,"03/25/2026, 12:23:06 PM UTC",lookup,2026-03-25 00:00:00,12:23:06,PM,UTC
5dc46196-032e-41db-b446-f620146c7bbc,Jeff Levesque,South Portland ME PD,5821.0,"02/23/2026, 12:30:42 PM UTC
03/25/2026, 12:30:42 PM UTC",Drugs/Narcotics - mdea via miac,,"03/25/2026, 12:23:31 PM UTC",lookup,2026-03-25 00:00:00,12:23:31,PM,UTC
b132823e-883d-4c3c-9e32-13f76e011830,Jeff Levesque,South Portland ME PD,5821.0,"02/23/2026, 12:30:40 PM UTC
03/25/2026, 12:30:40 PM UTC",Drugs/Narcotics - mdea via miac,,"03/25/2026, 12:23:42 PM UTC",lookup,2026-03-25 00:00:00,12:23:42,PM,UTC
3b78590f-e412-477f-a0f5-2c4eb8d53648,Jeff Levesque,South Portland ME PD,5819.0,"02/22/2026, 07:00:44 PM UTC
03/24/2026, 07:00:44 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/24/2026, 06:48:47 PM UTC",lookup,2026-03-24 00:00:00,06:48:47,PM,UTC
