Organization Name,Networks Shared With Me,Networks I'm Sharing
Lake City FL PD,"Lake City FL PD,Lake City FL PD Raven",South Portland ME PD
LaFayette County FL SO,"Lafayette County FL SO (Flex),LaFayette County FL SO",
Altoona IA PD,,South Portland ME PD
Shelby County TN SO,,South Portland ME PD
South Kingstown RI PD,,South Portland ME PD
Mattapoisett MA PD,,South Portland ME PD
Taunton MA PD,Taunton MA PD,
New Canaan CT PD,"New Canaan CT PD (Flex),New Canaan CT PD",South Portland ME PD
Wareham MA PD,Wareham MA PD,
Bedminster Twp NJ PD ,Bedminster Twp NJ PD ,
Buffalo State University NY PD,Buffalo State University NY PD,
Broward County FL SO,"City of Tamarac (FL),City of Deerfield Beach,Broward County FL SO",
Lakeland FL PD,"Lakeland FL PD (Flex),Lakeland FL PD",South Portland ME PD
Fish and Wildlife Commission FL PD,"FL - Florida Fish & Wildlife Wing,Fish and Wildlife Commission FL PD",South Portland ME PD
Crawford Town NY PD,Crawford Town NY PD,South Portland ME PD
Hyde Park NY PD,"Hyde Park NY PD,Hyde Park NY PD (Flex)",
Guilderland NY PD ,Guilderland NY PD ,
Geddes Town NY PD,Geddes Town NY PD,
Defuniak Springs FL PD,Defuniak Springs FL PD,
Largo FL PD,Largo FL PD,
Franklin County PA SO,"Franklin County PA SO (Flex),Franklin County PA SO",South Portland ME PD
Santa Rosa County FL SO,Santa Rosa County FL SO,South Portland ME PD
Broome CO NY SO,Broome CO NY SO (Flex),
Bristol CT PD,Bristol CT PD,South Portland ME PD
Miami-Dade FL SO,"Miami-Dade FL SO - NPF LPR Study,Miami Dade FL SO Flex Network,Miami-Dade FL SO (Flex),Miami-Dade FL SO",South Portland ME PD
Walton County FL SO,Walton County FL SO,South Portland ME PD
Bethlehem PA PD,"Bethlehem PA PD,Bethlehem PA PD (Wing),Bethlehem PA PD (Flex)",
Fernandina Beach FL PD,Fernandina Beach FL PD,
Lynbrook Village NY PD,Lynbrook Village NY PD,South Portland ME PD
Inc Village of Lake Success NY,Inc Village of Lake Success NY,
Green Island NY PD,Green Island NY PD,
North Kingstown RI PD,North Kingstown RI PD,South Portland ME PD
Riviera Beach FL PD,Riviera Beach FL PD,
Apopka FL PD,Apopka FL PD ,
Brookville NY PD,Brookville NY PD,South Portland ME PD
Lackawanna City NY PD,Lackawanna City NY PD,
Fort Worth TX PD ,"Fort Worth TX PD,Fort Worth TX PD PID #11 Stockyards,Fort Worth TX PD - PID 7 Heritage,Fort Worth Code Compliance,Fort Worth TX PD Wing LPR Cameras (Q1700),East Lancaster PID,Sun Valley PID,Fort Worth TX PD - Wing LVT,Fort Worth TX PD - Las Vegas Trail,Fort Worth TX PD - Milestone Live PTZ",South Portland ME PD
Leon County FL SO,Leon County FL SO,
Hopkinton MA PD,Hopkinton MA PD,
CSX Railroad PD,CSX Railroad TN PD,South Portland ME PD
Coral Springs FL PD,Coral Springs FL PD,
Elmira City NY PD,Elmira City NY PD,
Davenport FL PD,Davenport FL PD,
Margate FL PD,Margate FL PD ,
Muttontown NY PD,Muttontown NY PD,
