original_org_name,state,networks_im_sharing
Lake City FL PD,FL,South Portland ME PD
Altoona IA PD,IA,South Portland ME PD
Shelby County TN SO,TN,South Portland ME PD
South Kingstown RI PD,RI,South Portland ME PD
Mattapoisett MA PD,MA,South Portland ME PD
New Canaan CT PD,CT,South Portland ME PD
Lakeland FL PD,FL,South Portland ME PD
Fish and Wildlife Commission FL PD,FL,South Portland ME PD
Crawford Town NY PD,NY,South Portland ME PD
Franklin County PA SO,PA,South Portland ME PD
Santa Rosa County FL SO,FL,South Portland ME PD
Bristol CT PD,CT,South Portland ME PD
Miami-Dade FL SO,FL,South Portland ME PD
Walton County FL SO,FL,South Portland ME PD
Lynbrook Village NY PD,NY,South Portland ME PD
North Kingstown RI PD,RI,South Portland ME PD
Brookville NY PD,NY,South Portland ME PD
Fort Worth TX PD,TX,South Portland ME PD
CSX Railroad PD,,South Portland ME PD
Vernon CT PD,CT,South Portland ME PD
Lehigh County PA (RIIC),PA,South Portland ME PD
Somerset MA PD,MA,South Portland ME PD
East Providence RI PD,RI,South Portland ME PD
Brevard County FL SO,FL,South Portland ME PD
Fall River MA PD,MA,South Portland ME PD
Onondaga County NY SO,NY,South Portland ME PD
Franklin MA PD,MA,South Portland ME PD
Tarpon Springs FL PD,FL,South Portland ME PD
Butler Township PA PD,PA,South Portland ME PD
Windsor Locks CT PD,CT,South Portland ME PD
Homer Village NY PD,NY,South Portland ME PD
Hamburg Town NY PD,NY,South Portland ME PD
Allentown PA PD,PA,South Portland ME PD
SUNY-Onondaga Community College Campus NY PD,NY,South Portland ME PD
Hazleton PA PD,PA,South Portland ME PD
Old Westbury Village NY PD,NY,South Portland ME PD
Fishkill Town NY PD,NY,South Portland ME PD
Grafton MA PD,MA,South Portland ME PD
Southern Regl PA PD,PA,South Portland ME PD
Columbia County FL SO,FL,South Portland ME PD
SUNY Old Westbury NY PD,NY,South Portland ME PD
Palm Beach County FL SO,FL,South Portland ME PD
Quincy MA PD,MA,South Portland ME PD
Watervliet NY PD,NY,South Portland ME PD
Franklin Township PA PD,PA,South Portland ME PD
Chelmsford MA PD,MA,South Portland ME PD
Hillsborough County FL SO,FL,South Portland ME PD
Fairfield CT PD,CT,South Portland ME PD
Avoca PA PD,PA,South Portland ME PD
Niceville FL PD,FL,South Portland ME PD
West Hartford CT PD,CT,South Portland ME PD
Milford MA PD,MA,South Portland ME PD
Niagara Falls City NY PD,NY,South Portland ME PD
Lantana FL PD,FL,South Portland ME PD
Town of Newburgh NY PD,NY,South Portland ME PD
Auburn ME PD,ME,"South Portland ME PD,South Portland ME PD (Flex)"
Charlton MA PD,MA,South Portland ME PD
Mahoning Twp PA PD,PA,South Portland ME PD
Rensselaer NY PD,NY,South Portland ME PD
Millis MA PD,MA,South Portland ME PD
Wilton Manors FL PD,FL,South Portland ME PD
New Castle County DE PD,DE,South Portland ME PD
Freeport ME PD,ME,"South Portland ME PD,South Portland ME PD (Flex)"
Braintree MA PD,MA,South Portland ME PD
Tallahassee FL PD,FL,South Portland ME PD
Auburn NY PD,NY,South Portland ME PD
Quogue Village NY PD,NY,South Portland ME PD
Sarasota FL PD,FL,South Portland ME PD
Newtown CT PD,CT,South Portland ME PD
Town of Poughkeepsie NY PD,NY,South Portland ME PD
Hempstead Village NY PD,NY,South Portland ME PD
Columbia County NY SO,NY,South Portland ME PD
Berlin CT PD,CT,South Portland ME PD
Warwick RI PD,RI,South Portland ME PD
Tiverton RI PD,RI,South Portland ME PD
Beacon City NY PD,NY,South Portland ME PD
Fort Pierce FL PD,FL,South Portland ME PD
East Hampton Village NY PD,NY,South Portland ME PD
Baldwinsville Central School District Inc NY,NY,South Portland ME PD
Middleboro MA PD,MA,South Portland ME PD
Wellesley MA PD,MA,South Portland ME PD
Pocomoke City MD PD,MD,South Portland ME PD
Town of Lisbon Troopers CT,CT,South Portland ME PD
Glen Cove NY PD,NY,South Portland ME PD
Eastern Adams Regional PA PD,PA,South Portland ME PD
Falmouth ME PD,ME,"South Portland ME PD,South Portland ME PD (Flex)"
Suffolk County NY SO,NY,South Portland ME PD
Capitol Heights MD PD,MD,South Portland ME PD
Lady Lake FL PD,FL,South Portland ME PD
Metro Police Authority of Genesee County MI,MI,South Portland ME PD
Woodlawn OH PD,OH,South Portland ME PD
Russell County AL SO,AL,South Portland ME PD
Pea Ridge AR PD,AR,South Portland ME PD
Show Low AZ PD,AZ,South Portland ME PD
La Paz County AZ SO,AZ,South Portland ME PD
